		 Market cap as of 9/17/14 	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement		
LPSN	STPD long	 688.9 	7/30/2014	After	5/7/2014	After	2/12/2014	After	11/6/2013	After	7/31/2013	After	5/8/2013	After	2/12/2013	After	11/6/2012	After	8/1/2012	After	5/8/2012	After	2/13/2012	After	11/3/2011	After	8/3/2011	After	5/2/2011	After	2/10/2011	After	11/4/2010	After	8/4/2010	After	5/5/2010	After	2/10/2010	After	11/5/2009	After	8/4/2009	After	5/6/2009	After	2/11/2009	After		
RECN	STPD long	 560.6 	6/17/2014	After	4/2/2014	After	1/2/2014	After	10/1/2013	After	7/16/2013	After	4/2/2013	After	12/20/2012	After	10/2/2012	After	7/12/2012	After	3/28/2012	After	1/4/2012	After	10/4/2011	After	7/14/2011	After	3/31/2011	After	1/5/2011	After	9/30/2010	After	7/20/2010	After	3/31/2010	After	1/6/2010	After	10/1/2009	After	7/15/2009	After	4/7/2009	After	1/6/2009	After		
KKD	STPD short	 1,120.0 	9/9/2014	After	6/2/2014	After	3/12/2014	After	12/2/2013	After	8/29/2013	After	5/30/2013	After	3/14/2013	After	11/19/2012	After	8/22/2012	After	5/21/2012	Before	3/20/2012	After	11/30/2011	After	8/25/2011	After	5/23/2011	Before	3/31/2011	After	12/1/2010	After	9/2/2010	After														
EXPR	STPD short	 1,430.0 	8/27/2014	Before	5/29/2014	After	3/12/2014	Before	12/4/2013	Before	8/28/2013	Before	5/30/2013	Before	3/13/2013	Before	11/28/2012	Before	8/22/2012	Before	5/22/2012	Before	3/7/2012	Before	11/30/2011	After	8/24/2011	After	5/24/2011	After	3/22/2011	Before	12/1/2010	After	9/1/2010	Before														
AEO	STPD short	 2,730.0 	8/20/2014	Before	5/21/2014	Before	3/11/2014	Before	12/6/2013	Before	8/21/2013	Before	5/22/2013	Before	3/6/2013	Before	11/28/2012	Before	8/22/2012	Before	5/23/2012	Before	3/7/2012	Before	11/30/2011	Before	8/24/2011	Before	5/25/2011	Before	3/9/2011	Before	11/18/2010	Before	8/25/2010	Before	5/26/2010	Before	3/10/2010	Before	11/24/2009	Before	8/27/2009	Before	5/27/2009	Before	3/11/2009	Before		
BIG	STPD short	 2,620.0 	8/29/2014	Before	5/30/2014	Before	3/7/2014	Before	12/5/2013	After	8/30/2013	Before	5/30/2013	Before	3/6/2013	Before	12/4/2012	Before	8/23/2012	Before	5/23/2012	Before	3/2/2012	Before	12/2/2011	Before	8/25/2011	Before	5/26/2011	Before	3/3/2011	Before	12/3/2010	Before	8/24/2010	Before	5/27/2010	Before	3/3/2010	Before	12/4/2009	Before	8/25/2009	Before	5/28/2009	Before	3/4/2009	Before		
FIVE	STPD short	 2,300.0 	9/10/2014	After	6/4/2014	After	3/25/2014	After	12/5/2013	After	9/9/2013	After	6/12/2013	After	3/27/2013	After	11/29/2012	After	9/10/2012	After																														
SEAC	STPD short	 238.2 	9/4/2014	After	6/5/2014	After	4/3/2014	After	12/5/2013	After	9/5/2013	After	6/6/2013	After	4/9/2013	After	12/4/2012	After	9/5/2012	After	6/6/2012	After	3/29/2012	Before	12/8/2011	After	9/7/2011	After	6/9/2011	After	3/17/2011	After	12/9/2010	After	9/2/2010	After	5/27/2010	After	3/11/2010	After	12/2/2009	After	9/1/2009	After	6/4/2009	After	3/12/2009	After		
EW	STPD short	 10,860.0 	7/29/2014	After	4/24/2014	After	2/3/2014	After	10/28/2013	Before	7/25/2013	After	4/23/2013	After	2/4/2013	After	10/19/2012	After	7/24/2012	After	4/24/2012	After	2/2/2012	After	10/19/2011	After	7/21/2011	After	4/20/2011	After	2/2/2011	After	10/25/2010	During	7/21/2010	After	4/20/2010	After	2/4/2010	After	10/21/2009	After	7/20/2009	After	4/27/2009	After	2/3/2009	After		
GME	STPD short	 4,960.0 	8/21/2014	After	5/22/2014	After	3/27/2014	Before	11/21/2013	Before	8/22/2013	Before	5/23/2013	Before	3/28/2013	Before	11/15/2012	Before	8/16/2012	Before	5/17/2012	Before	3/22/2012	Before	11/17/2011	Before	8/18/2011	Before	5/19/2011	Before	3/24/2011	Before	11/18/2010	Before	8/19/2010	Before	5/20/2010	Before	3/18/2010	Before	11/19/2009	Before	8/20/2009	Before	5/21/2009	Before	3/26/2009	Before		
PKT	STPD short	 202.5 	8/6/2014	After	5/1/2014	After	2/27/2014	After	11/4/2013	After	8/7/2013	After	5/2/2013	After	2/28/2013	Before	11/6/2012	After	8/2/2012	After	5/10/2012	During	2/21/2012	After																										
HGG	STPD short	 184.8 	7/31/2014	Before	5/20/2014	Before	1/30/2014	Before	10/31/2013	Before	8/1/2013	Before	5/20/2013	After	1/31/2013	Before	11/2/2012	Before	8/2/2012	Before	5/23/2012	Before	2/8/2012	Before	11/2/2011	Before	8/4/2011	Before	5/26/2011	Before	2/8/2011	Before	11/9/2010	Before	8/5/2010	Before	5/27/2010	Before	2/4/2010	Before	11/5/2009	Before	8/7/2009	Before	6/2/2009	Before	2/5/2009	Before		
ALOG	STPD short	 810.4 	9/15/2014	After	6/5/2014	After	3/6/2014	After	12/9/2013	After	9/12/2013	After	6/4/2013	After	3/11/2013	After	12/6/2012	After	9/13/2012	After	6/6/2012	After	3/6/2012	After	12/8/2011	After	9/20/2011	After	6/7/2011	After	3/10/2011	After	12/9/2010	After	9/21/2010	After	6/9/2010	After	3/9/2010	After	12/9/2009	After	9/24/2009	After	6/4/2009	After	3/5/2009	Before		
CASY	STPD short	 2,740.0 	9/8/2014	After	6/9/2014	After	3/10/2014	After	12/9/2013	After	9/9/2013	After	6/13/2013	After	3/11/2013	After	12/10/2012	After	9/10/2012	After	6/12/2012	After	3/5/2012	After	12/6/2011	After	9/7/2011	After	6/13/2011	After	3/7/2011	After	12/7/2010	After	9/7/2010	Before	6/15/2010	Before	3/8/2010	After	12/7/2009	After	9/8/2009	After	6/15/2009	After	3/9/2009	After		
LL	STPD short	 1,630.0 	7/30/2014	Before	4/30/2014	Before	2/19/2014	Before	10/23/2013	Before	7/24/2013	Before	4/24/2013	Before	2/20/2013	Before	10/24/2012	Before	7/25/2012	Before	4/25/2012	Before	2/22/2012	Before	10/27/2011	Before	7/26/2011	Before	4/27/2011	Before	2/23/2011	Before	11/3/2010	After	8/4/2010	Before	4/28/2010	Before	2/18/2010	Before	11/4/2009	Before	8/5/2009	Before	5/6/2009	Before	3/11/2009	Before		
PBY	STPD short	 526.5 	9/8/2014	After	6/9/2014	After	4/14/2014	After	12/9/2013	After	9/9/2013	After	6/10/2013	After	4/15/2013	After	12/3/2012	After	9/4/2012	After	6/6/2012	After	4/2/2012	After	12/5/2011	After	9/6/2011	After	6/6/2011	After	4/6/2011	After	12/6/2010	After	9/7/2010	After	6/7/2010	After	4/7/2010	After	12/7/2009	After	9/8/2009	After	6/8/2009	After	4/8/2009	After		
PIR	STPD short	 1,470.0 	9/17/2014	After	6/19/2014	Before	4/10/2014	Before	12/19/2013	Before	9/19/2013	Before	6/20/2013	Before	4/11/2013	Before	12/13/2012	Before	9/13/2012	Before	6/14/2012	Before	4/5/2012	Before	12/15/2011	Before	9/15/2011	Before	6/16/2011	Before	4/7/2011	Before	12/16/2010	Before	9/16/2010	Before	6/17/2010	Before	4/8/2010	Before	12/17/2009	Before	9/17/2009	Before	6/18/2009	Before				
LH	STPD short	 9,010.0 	7/18/2014	Before	4/28/2014	Before	2/7/2014	Before	10/18/2013	Before	7/19/2013	Before	4/19/2013	Before	2/8/2013	Before	10/18/2012	Before	7/19/2012	Before	4/19/2012	Before	2/10/2012	Before	10/20/2011	Before	7/21/2011	Before	4/21/2011	Before	2/10/2011	Before	10/21/2010	Before	7/22/2010	Before	4/21/2010	Before	2/11/2010	Before	10/22/2009	Before	7/23/2009	Before	4/23/2009	Before	2/12/2009	Before		
LULU	STPD short	 6,310.0 	9/11/2014	Before	6/12/2014	Before	3/27/2014	Before	12/12/2013	Before	9/12/2013	Before	6/10/2013	After	3/21/2013	Before	12/6/2012	Before	9/7/2012	Before	6/7/2012	Before	3/22/2012	Before	12/1/2011	Before	9/9/2011	Before	6/10/2011	Before	3/17/2011	Before	12/9/2010	Before	9/10/2010	Before	6/10/2010	Before	3/25/2010	Before	12/9/2009	After	9/10/2009	Before	6/11/2009	Before	3/26/2009	After		
JBL	STPD short	 4,320.0 	9/24/2014	After	6/18/2014	After	3/19/2014	After	12/17/2013	After	9/25/2013	After	6/19/2013	After	3/20/2013	After	12/19/2012	After	9/25/2012	After	6/19/2012	After	3/20/2012	After	12/20/2011	After	9/27/2011	After	6/21/2011	After	3/22/2011	After	12/20/2010	After	9/27/2010	After	6/22/2010	After	3/23/2010	After	12/21/2009	After	9/29/2009	After	6/23/2009	After	3/24/2009	After		
